gvkey,primary_permno
002890,22403
002891,22430
002892,11092
002893,11105
002894,22438
002895,48346
002896,78443
002897,50366
002898,25750
002899,48522
002900,22489
002901,22497
002902,22510
002903,22518
002904,46607
002905,22534
002908,78268
002909,22569
002910,22577
002916,41419
002917,21397
002918,22585
002919,61727
002920,26622
002921,57875
002922,22593
002924,22622
002926,22657
002927,22665
002928,86546
002929,22673
002930,22681
002931,22700
002932,30488
002933,22702
002934,22729
002935,22737
002937,22745
002938,22753
002939,53364
002940,90011
002941,22817
002942,22825
002943,41718
002944,22841
002947,22868
002948,22892
002949,46092
002950,22905
002951,22913
002952,18243
002953,22921
002954,22948
002955,22956
002956,40715
002957,22964
002958,22972
002959,22999
002960,64194
002962,23027
002963,76483
002964,54017
002965,23035
002966,23043
002967,23051
002968,47896
002969,23070
002971,60265
002972,23094
002973,19190
002974,23107
002975,23115
002982,21960
002983,23131
002984,23150
002985,23158
002986,23182
002987,28505
002988,23203
002989,11156
002990,88208
002991,14541
002992,23230
002993,23238
002994,54009
002997,23246
002998,11164
002999,30509
003001,23254
003002,30517
003003,58384
003004,53145
003005,23262
003006,23289
003007,23297
003008,23310
003009,59854
003011,23318
003012,47925
003013,26841
003014,23334
003015,21282
003016,30525
003017,30533
003020,23377
003022,11260
003024,59192
003026,23393
003028,79026
003029,23406
003030,59205
003031,68320
003032,23422
003033,24117
003034,23457
003036,47677
003039,22947
003040,23481
003041,22680
003044,23500
003045,52222
003046,30541
003047,23529
003048,23537
003049,86634
003050,23545
003051,48047
003052,23580
003053,23588
003054,47175
003055,23596
003057,23609
003059,11287
003060,46957
003061,23641
003062,23660
003063,65533
003064,23668
003066,47079
003067,24571
003069,23692
003070,23705
003071,86685
003072,23721
003073,23756
003074,48215
003075,60601
003076,23772
003077,53049
003078,23887
003079,23895
003080,41232
003081,15923
003082,23916
003083,23924
003084,60417
003087,67459
003089,23967
003090,30568
003091,18446
003093,23975
003094,43369
003095,23983
003096,52249
003097,49963
003098,30584
003100,23991
003101,57322
003102,24011
003103,66878
003104,24038
003105,24046
003107,27422
003108,69243
003110,59213
003111,24062
003112,19684
003113,23069
003114,80703
003115,24089
003116,24097
003117,24110
003119,24118
003120,23595
003121,46578
003122,24126
003123,24134
003124,66464
003125,11295
003126,56741
003128,24185
003129,24193
003130,38893
003131,24214
003132,24265
003133,24273
003134,24300
003135,24302
003136,38957
003137,24329
003138,11995
003140,78256
003142,27510
003144,11308
003146,24388
003148,24417
003149,24425
003150,24433
003152,86722
003153,24441
003154,44425
003155,24468
003156,64901
003157,24476
003158,30648
003159,53460
003162,52724
003163,24505
003164,43000
003166,24513
003167,39140
003169,14055
003170,18729
003171,24548
003172,24556
003173,55992
003176,15712
003178,24572
003179,38886
003180,27094
003181,24599
003184,52740
003185,24679
003186,24687
003188,55482
003189,30664
003190,52206
003191,24695
003194,24716
003196,24724
003197,24732
003199,24767
003200,11332
003201,24783
003203,82542
003204,24791
003205,24804
003206,11340
003207,24839
003208,19297
003209,24871
003211,24890
003212,24898
003213,24919
003214,86781
003215,24927
003216,24935
003217,24943
003218,24951
003219,53970
003220,24978
003221,61735
003222,25006
003224,18999
003225,86800
003226,25022
003227,25049
003228,11675
003229,25073
003230,61524
003231,25081
003233,65891
003234,25100
003235,30672
003237,25102
003238,25129
003239,25137
003240,57656
003241,25145
003242,50155
003243,70519
003244,25188
003245,25196
003246,30680
003248,25217
003249,15528
003252,48127
003253,57795
003254,25241
003255,20853
003257,57277
003258,50375
003262,25313
003263,40520
003264,25321
003265,25348
003266,25356
003268,38535
003269,25372
003270,25399
003271,25401
003272,25420
003273,41064
003275,25452
003276,53401
003277,25989
003278,25487
003279,25495
003280,56709
003281,25508
003282,68347
