symbol,gvkey,total_score,years_covered,max_overlap_days,primary_permno,first_seen,last_seen
MEG,36718,74,5,365,19534,2020-07-23,2024-12-31
MEI,7291,430,29,366,53197,1982-11-01,2024-12-31
MEIP,157865,193,13,366,89935,2012-07-02,2024-12-31
MELI,178081,264,18,366,92221,2007-08-14,2024-12-31
MEOH,13971,165,14,366,77735,2004-06-10,2024-12-31
MERC,14563,208,14,366,75578,2006-08-11,2024-12-31
MESA,13241,162,11,366,11162,1996-09-30,2010-01-13
MESO,271607,59,5,366,15848,2015-11-13,2024-12-31
MET,133768,265,18,366,87842,2000-04-05,2024-12-31
MET-PA,133768,311,21,366,87842,2000-04-05,2024-12-31
MET-PE,133768,252,17,366,87842,2000-04-05,2024-12-31
MET-PF,133768,235,16,366,87842,2000-04-05,2024-12-31
META,170617,189,13,366,13407,2012-05-18,2024-12-31
METC,29670,118,8,366,16592,2017-02-03,2024-12-31
METCB,29670,15,1,365,16592,2023-06-22,2024-12-31
METCL,29670,103,7,366,16592,2017-02-03,2024-12-31
MEUSW,38717,14,1,198,20134,2021-06-17,2024-10-15
MF,38971,11,1,288,21569,2021-06-25,2022-10-16
MFA,15101,210,18,366,85935,2002-08-13,2024-12-31
MFA-PB,15101,164,14,366,85935,2002-08-13,2024-12-31
MFA-PC,15101,164,14,366,85935,2002-08-13,2024-12-31
MFAN,15101,12,1,365,85935,2022-04-05,2024-12-31
MFAO,15101,12,1,365,85935,2022-04-05,2024-12-31
MFC,124042,106,9,366,87212,2002-01-02,2024-12-31
MFCO,7350,163,11,366,53656,1989-09-01,2007-05-04
MFG,248136,45,4,365,91582,2011-06-13,2024-12-31
MFGP,272961,56,5,365,16850,2017-09-01,2023-01-30
MFH,22864,12,1,365,15304,2020-05-19,2023-02-27
MFIC,266257,23,2,365,90121,2021-03-29,2024-12-31
MFIN,62919,283,18,366,83565,1996-05-23,2024-10-23
MFNC,114880,148,10,366,89109,2006-07-07,2021-09-03
MG,180229,180,12,366,93065,2009-10-08,2024-12-31
MGA,6946,12,1,365,78045,2012-05-11,2024-12-31
MGAM,40494,43,3,365,23233,2022-07-29,2024-04-17
MGEE,6932,317,20,366,50789,2002-08-12,2024-12-31
MGI,5342,190,15,366,90213,2004-07-01,2023-05-31
MGLD,108345,40,3,365,22952,2022-03-10,2024-12-31
MGLN,2940,262,18,366,90011,1999-01-04,2022-01-03
MGM,14418,362,23,366,11891,1989-12-13,2024-12-31
MGNI,19753,73,5,365,14580,2020-07-01,2024-12-31
MGNX,18658,178,12,366,14257,2013-10-10,2024-12-31
MGOL,41884,28,2,353,23673,2023-01-13,2024-07-17
MGP,27045,82,7,366,16042,2016-04-20,2022-04-28
MGPI,14891,180,12,366,12226,2012-01-04,2024-12-31
MGR,65886,270,17,366,85593,2004-06-10,2024-12-31
MGRB,65886,285,18,366,85593,2004-06-10,2024-12-31
MGRC,7161,366,23,366,89915,1984-11-13,2024-12-31
MGRD,65886,206,13,366,85593,2004-06-10,2024-12-31
MGRE,65886,16,1,365,85593,2023-12-12,2024-12-31
MGRM,42945,28,2,228,23880,2023-05-18,2024-12-31
MGRX,42220,28,2,286,23795,2023-03-21,2024-06-19
MGTA,33500,87,6,366,17892,2018-06-21,2023-09-11
MGTI,63337,69,5,365,91050,2007-01-24,2016-10-19
MGY,31252,101,7,365,16771,2018-08-01,2024-12-31
MGYR,165465,208,14,366,91083,2008-06-23,2024-12-31
MHGU,13759,40,3,365,11185,1999-09-24,2006-06-29
MHH,180822,165,12,366,92797,2008-10-01,2024-12-31
MHK,25119,360,23,366,77496,1997-12-16,2024-12-31
MHO,12615,357,24,366,79909,1993-11-03,2024-12-31
MIC,161120,169,12,366,90507,2011-06-13,2022-07-20
MICR,22144,41,3,365,76544,2017-03-27,2020-04-03
MICS,30964,177,13,366,88937,1994-11-10,2024-06-19
MICT,160555,88,6,366,13879,2018-07-16,2023-11-13
MIDD,13570,365,23,366,75470,1995-11-28,2024-12-31
MIGI,38328,58,4,365,21947,2021-09-29,2024-12-31
MILC,174300,13,1,102,91454,2006-09-21,2008-04-14
MILE,38050,14,1,325,19970,2021-02-10,2022-07-27
MIMO,137861,35,3,365,20097,2021-08-16,2024-04-01
MIND,31214,73,5,365,81165,2020-08-05,2024-12-31
MINDP,31214,73,5,365,81165,2020-08-05,2024-12-31
MINM,183666,57,4,365,21743,2021-07-07,2024-06-19
MIR,39935,59,4,365,19593,2021-10-21,2024-12-31
MIRA,43186,29,2,365,24094,2023-08-03,2024-12-31
MIRM,35375,89,6,366,18846,2019-07-18,2024-12-31
MIRO,38917,43,3,365,21570,2021-06-24,2023-12-12
MIST,35100,71,6,366,18663,2019-05-09,2024-12-31
MITK,14113,326,22,366,11803,1995-05-26,2024-12-31
MITN,186671,12,1,365,12828,2021-07-23,2024-12-31
MITO,34593,23,2,366,18409,2019-02-15,2022-11-15
MITQ,36235,55,4,365,21664,2021-07-08,2024-12-31
MITT,186671,165,14,366,12828,2011-06-30,2024-12-31
MITT-PA,186671,153,13,366,12828,2011-06-30,2024-12-31
MITT-PB,186671,165,14,366,12828,2011-06-30,2024-12-31
MITT-PC,186671,165,14,366,12828,2011-06-30,2024-12-31
MIXT,287252,96,8,366,14075,2013-08-09,2024-03-25
MKC,7146,295,20,366,52090,1986-04-01,2024-12-31
MKC-V,7146,60,4,365,52090,2014-01-29,2024-12-31
MKD,35994,11,1,2,19141,2019-12-30,2020-02-12
MKFG,39250,58,4,365,19935,2021-07-15,2024-09-18
MKFG-WT,39250,58,4,365,19935,2021-07-15,2024-09-18
MKGI,179447,43,3,366,17324,2019-07-01,2021-04-05
MKL,12909,365,23,366,10933,1997-06-11,2024-12-31
MKSI,119275,285,18,366,86778,1999-03-30,2024-12-31
MKTW,39311,58,4,365,19797,2021-07-22,2024-12-31
MKTX,158742,252,17,366,90454,2004-11-09,2024-12-31
MKTY,7183,11,1,211,52231,2021-04-06,2021-11-03
ML,39752,57,4,365,19592,2021-09-23,2024-12-31
ML-WT,39752,57,4,365,19592,2021-09-23,2024-12-31
MLAB,7275,365,23,366,53074,1992-10-21,2024-12-31
MLCO,176260,119,10,366,91673,2011-05-26,2024-12-31
MLHR,7401,322,25,366,54114,1986-04-01,2021-10-31
MLI,15343,364,23,366,76573,1991-02-27,2024-12-31
MLKN,7401,348,22,366,54114,1986-04-01,2024-12-31
MLM,29733,369,25,366,80204,1994-02-17,2024-12-31
MLND,34528,43,3,365,13883,2018-12-10,2021-06-27
MLNK,38748,59,4,365,21613,2021-07-28,2024-12-31
MLP,7117,338,22,366,51925,1986-04-10,2024-12-31
MLR,30558,377,24,366,80828,1995-12-20,2024-12-31
MLSS,61496,263,19,366,82621,1996-12-06,2024-12-31
MLVF,180109,176,12,366,92685,2012-11-02,2023-07-14
MLYS,41916,29,2,365,23730,2023-02-10,2024-12-31
MMAC,63541,102,7,366,83827,2014-10-09,2021-08-12
MMAT,39108,58,4,365,14358,2021-06-28,2024-06-20
MMC,7065,413,26,366,45751,1975-05-22,2024-12-31
MMI,19000,178,12,366,14213,2013-10-31,2024-12-31
MMLP,150201,225,19,366,89570,2002-11-01,2024-12-31
MMM,7435,279,19,366,22592,2002-04-08,2024-12-31
MMMB,17494,43,3,365,21744,2021-07-15,2023-08-01
MMP,142230,139,12,366,88901,2004-06-10,2023-09-22
MMS,64901,443,28,366,85067,1997-06-13,2024-12-31
MMSI,21777,399,25,366,76392,1990-05-10,2024-12-31
MMTLP,39108,44,3,365,14358,2021-06-28,2024-01-28
MMX,27668,10,1,190,18763,2019-06-25,2023-01-19
MN,189567,164,11,366,13084,2011-11-18,2022-10-20
MNDT,18487,28,2,251,14159,2021-10-05,2022-09-09
MNESP,7420,64,4,366,54253,2014-03-10,2024-12-31
MNKD,160340,238,16,366,90285,2004-07-28,2024-12-31
MNMD,36288,46,4,365,21077,2021-04-27,2024-12-31
MNOV,162892,195,13,366,91672,2007-02-07,2024-12-31
MNPR,35664,73,5,366,19142,2019-12-19,2024-08-12
MNR,43507,12,1,365,24423,2023-10-25,2024-12-31
MNRL,35004,58,4,366,18515,2019-04-18,2022-12-28
MNRO,24350,347,22,366,76750,1991-07-30,2024-12-31
MNSB,164724,87,6,365,18560,2019-04-22,2024-12-31
MNSBP,164724,87,6,365,18560,2019-04-22,2024-12-31
MNSO,37157,11,1,283,19912,2023-03-24,2024-12-31
MNST,24316,149,10,366,88031,2015-06-15,2024-12-31
MNTK,37672,59,4,365,20438,2021-01-22,2024-12-31
MNTS,39427,56,4,346,19146,2021-08-13,2024-12-12
MNTSW,39427,56,4,346,19146,2021-08-13,2024-12-12
MNTV,34140,43,3,365,18097,2021-06-15,2023-05-31
MNTX,161843,191,13,366,90568,2012-05-02,2024-12-31
MO,8543,296,20,366,13901,2004-06-10,2024-12-31
MOB,324138,22,2,194,23322,2022-08-25,2024-12-31
MOBBW,324138,22,2,194,23322,2022-08-25,2024-12-31
MOBQ,163850,42,3,257,22578,2021-12-09,2023-08-06
MOBX,39121,15,1,365,21833,2023-12-22,2024-12-31
MOBXW,39121,15,1,365,21833,2023-12-22,2024-12-31
MOD,7486,461,29,366,54704,1984-06-19,2024-12-31
MODD,165750,43,3,365,22783,2022-02-10,2024-12-31
MODG,24978,47,3,365,77366,2004-06-10,2024-12-31
MODN,17553,176,12,366,13816,2013-03-20,2024-06-26
MODV,154758,59,4,365,89824,2021-01-07,2024-12-31
MOFG,65796,239,16,366,92593,2008-06-23,2024-12-31
MOG-A,7549,344,22,366,61807,1980-06-12,2024-12-31
MOG-B,7549,281,18,366,61807,1980-06-12,2024-12-31
MOGO,24819,46,4,365,17693,2019-09-12,2024-12-31
MOGU,34411,46,4,365,18292,2018-12-06,2024-12-31
MOH,152149,298,20,366,89781,2004-06-10,2024-12-31
MOHO,35833,12,1,366,19075,2019-12-10,2022-09-22
MOLN,318525,36,3,365,21572,2021-06-16,2024-12-31
MOMO,22164,35,3,365,15135,2021-08-03,2024-12-31
MOND,37785,43,3,365,20820,2022-08-22,2024-12-05
MOR,231016,69,6,365,17694,2018-04-19,2024-08-02
MORF,35280,88,6,366,18779,2019-06-27,2024-06-19
MORN,160373,298,20,366,90708,2005-05-06,2024-12-31
MOS,162129,194,13,366,90386,2011-05-25,2024-12-31
MOSY,141278,146,10,366,89029,2006-06-05,2020-10-04
MOTNU,37146,28,2,310,20307,2020-12-11,2021-11-07
MOTS,31348,101,7,366,17325,2018-02-14,2024-04-15
MOV,7951,299,19,366,79611,1996-04-15,2024-12-31
MOVE,37980,58,4,365,20848,2021-03-23,2024-10-28
MP,37407,73,5,365,19433,2020-11-18,2024-12-31
MPAA,29930,375,24,366,80341,1994-03-23,2024-12-31
MPB,66288,279,18,366,85656,1997-12-04,2024-12-31
MPC,186989,195,13,366,12872,2011-07-01,2024-12-31
MPLN,37188,72,5,365,19331,2020-10-09,2024-06-20
MPLX,12294,150,13,365,13618,2012-10-26,2024-12-31
MPTI,41420,41,3,365,23381,2022-10-07,2024-12-31
MPU,66301,26,2,329,85757,2023-02-06,2024-10-08
MPVDF,26189,34,3,366,83532,2000-10-04,2016-12-29
MPW,162160,210,18,366,90790,2005-07-11,2024-12-31
MPWR,160888,267,18,366,90455,2004-11-19,2024-12-31
MPX,142546,293,20,366,88895,2001-07-02,2024-12-31
MQ,38832,59,4,365,21345,2021-06-09,2024-12-31
